angle : 227.609253, distance : 0.000000
angle : 227.949829, distance : 0.000000
angle : 228.295898, distance : 0.000000
angle : 228.966064, distance : 0.000000
angle : 229.372559, distance : 0.000000
angle : 229.718628, distance : 0.000000
angle : 230.059204, distance : 0.000000
angle : 230.405273, distance : 0.000000
angle : 230.729370, distance : 0.000000
angle : 231.075439, distance : 0.000000
angle : 231.421509, distance : 0.000000
angle : 231.762085, distance : 0.000000
angle : 232.108154, distance : 0.000000
angle : 232.448730, distance : 0.000000
angle : 232.794800, distance : 0.000000
angle : 233.135376, distance : 0.000000
angle : 233.481445, distance : 0.000000
angle : 233.827515, distance : 0.000000
angle : 234.151611, distance : 0.000000
angle : 234.497681, distance : 0.000000
angle : 234.843750, distance : 0.000000
angle : 235.184326, distance : 0.000000
angle : 235.530396, distance : 0.000000
angle : 235.870972, distance : 0.000000
angle : 236.217041, distance : 0.000000
angle : 236.557617, distance : 0.000000
angle : 236.903687, distance : 0.000000
angle : 237.233276, distance : 0.000000
angle : 237.573853, distance : 0.000000
angle : 237.919922, distance : 0.000000
angle : 238.260498, distance : 0.000000
angle : 238.606567, distance : 0.000000
angle : 238.952637, distance : 0.000000
angle : 239.095459, distance : 0.000000
angle : 239.293213, distance : 0.000000
angle : 240.435791, distance : 0.000000
angle : 240.534668, distance : 0.000000
angle : 240.776367, distance : 0.000000
angle : 241.122437, distance : 0.000000
angle : 241.468506, distance : 0.000000
angle : 241.809082, distance : 0.000000
angle : 242.155151, distance : 0.000000
angle : 242.479248, distance : 0.000000
angle : 242.825317, distance : 0.000000
angle : 243.171387, distance : 0.000000
angle : 243.511963, distance : 0.000000
angle : 243.858032, distance : 0.000000
angle : 244.198608, distance : 0.000000
angle : 244.544678, distance : 0.000000
angle : 244.885254, distance : 0.000000
angle : 245.231323, distance : 0.000000
angle : 245.577393, distance : 0.000000
angle : 246.357422, distance : 0.000000
angle : 246.697998, distance : 0.000000
angle : 247.044067, distance : 0.000000
angle : 247.390137, distance : 0.000000
angle : 247.730713, distance : 0.000000
angle : 248.076782, distance : 0.000000
angle : 248.417358, distance : 0.000000
angle : 248.763428, distance : 0.000000
angle : 249.104004, distance : 0.000000
angle : 249.450073, distance : 0.000000
angle : 249.779663, distance : 0.000000
angle : 250.120239, distance : 0.000000
angle : 250.466309, distance : 0.000000
angle : 250.812378, distance : 0.000000
angle : 251.499023, distance : 0.000000
angle : 252.053833, distance : 0.000000
angle : 252.119751, distance : 0.000000
angle : 252.410889, distance : 0.000000
angle : 252.465820, distance : 0.000000
angle : 252.773438, distance : 0.000000
angle : 252.811890, distance : 0.000000
angle : 253.498535, distance : 0.000000
angle : 253.839111, distance : 0.000000
angle : 254.185181, distance : 0.000000
angle : 254.514771, distance : 0.000000
angle : 255.541992, distance : 0.000000
angle : 255.888062, distance : 0.000000
angle : 256.574707, distance : 0.000000
angle : 256.920776, distance : 0.000000
angle : 257.261353, distance : 0.000000
