angle : 78.140259, distance : 0.000000, cluster : 0
angle : 78.277588, distance : 0.279000, cluster : 1
angle : 78.502808, distance : 0.000000, cluster : 0
angle : 78.557739, distance : 0.280000, cluster : 1
angle : 78.859863, distance : 0.000000, cluster : 0
angle : 78.887329, distance : 0.280000, cluster : 1
angle : 79.277344, distance : 0.279000, cluster : 1
angle : 79.623413, distance : 0.278000, cluster : 1
angle : 79.953003, distance : 0.279000, cluster : 1
angle : 80.183716, distance : 0.283000, cluster : 1
angle : 80.573730, distance : 0.281000, cluster : 1
angle : 81.013184, distance : 0.276000, cluster : 1
angle : 81.359253, distance : 0.275000, cluster : 1
angle : 81.749268, distance : 0.273000, cluster : 1
angle : 82.029419, distance : 0.274000, cluster : 1
angle : 82.359009, distance : 0.276000, cluster : 1
angle : 82.699585, distance : 0.274000, cluster : 1
angle : 83.139038, distance : 0.269000, cluster : 1
angle : 83.529053, distance : 0.267000, cluster : 1
angle : 83.869629, distance : 0.266000, cluster : 1
angle : 84.199219, distance : 0.265000, cluster : 1
angle : 84.545288, distance : 0.266000, cluster : 1
angle : 84.825439, distance : 0.269000, cluster : 1
angle : 85.215454, distance : 0.267000, cluster : 1
angle : 85.605469, distance : 0.263000, cluster : 1
angle : 85.935059, distance : 0.263000, cluster : 1
angle : 86.281128, distance : 0.262000, cluster : 1
angle : 86.605225, distance : 0.262000, cluster : 1
angle : 86.951294, distance : 0.262000, cluster : 1
angle : 87.280884, distance : 0.262000, cluster : 1
angle : 87.670898, distance : 0.261000, cluster : 1
angle : 88.011475, distance : 0.261000, cluster : 1
angle : 88.341064, distance : 0.261000, cluster : 1
angle : 88.687134, distance : 0.261000, cluster : 1
angle : 89.011230, distance : 0.261000, cluster : 1
angle : 89.357300, distance : 0.261000, cluster : 1
angle : 89.686890, distance : 0.261000, cluster : 1
angle : 90.010986, distance : 0.261000, cluster : 1
angle : 90.357056, distance : 0.261000, cluster : 1
angle : 90.637207, distance : 0.262000, cluster : 1
angle : 90.966797, distance : 0.262000, cluster : 1
angle : 91.307373, distance : 0.263000, cluster : 1
angle : 91.636963, distance : 0.264000, cluster : 1
angle : 92.592773, distance : 0.267000, cluster : 1
angle : 92.636719, distance : 0.300000, cluster : 1
angle : 92.916870, distance : 0.304000, cluster : 1
angle : 93.262939, distance : 0.305000, cluster : 1
angle : 93.592529, distance : 0.306000, cluster : 1
angle : 93.933105, distance : 0.307000, cluster : 1
angle : 94.339600, distance : 0.000000, cluster : 0
angle : 94.702148, distance : 0.000000, cluster : 0
angle : 94.888916, distance : 0.309000, cluster : 1
angle : 95.421753, distance : 0.000000, cluster : 0
angle : 95.932617, distance : 0.332000, cluster : 1
angle : 96.278687, distance : 0.330000, cluster : 1
angle : 96.608276, distance : 0.331000, cluster : 1
angle : 96.888428, distance : 0.333000, cluster : 1
angle : 97.229004, distance : 0.336000, cluster : 1
angle : 97.448730, distance : 0.343000, cluster : 1
angle : 97.580566, distance : 0.000000, cluster : 0
angle : 97.734375, distance : 0.348000, cluster : 1
angle : 97.943115, distance : 0.000000, cluster : 0
angle : 98.058472, distance : 0.350000, cluster : 1
angle : 98.404541, distance : 0.350000, cluster : 1
angle : 98.662720, distance : 0.000000, cluster : 0
angle : 98.734131, distance : 0.348000, cluster : 1
angle : 99.019775, distance : 0.000000, cluster : 0
angle : 99.074707, distance : 0.347000, cluster : 1
angle : 99.382324, distance : 0.000000, cluster : 0
angle : 99.404297, distance : 0.347000, cluster : 1
angle : 99.744873, distance : 0.347000, cluster : 1
angle : 100.074463, distance : 0.347000, cluster : 1
angle : 100.420532, distance : 0.347000, cluster : 1
angle : 100.744629, distance : 0.347000, cluster : 1
angle : 101.090698, distance : 0.348000, cluster : 1
angle : 101.420288, distance : 0.348000, cluster : 1
angle : 101.760864, distance : 0.349000, cluster : 1
angle : 102.420044, distance : 0.351000, cluster : 1
angle : 103.090210, distance : 0.382000, cluster : 1
angle : 103.436279, distance : 0.384000, cluster : 1
angle : 103.716431, distance : 0.386000, cluster : 1
angle : 103.996582, distance : 0.392000, cluster : 1
angle : 104.260254, distance : 0.401000, cluster : 1
angle : 104.545898, distance : 0.407000, cluster : 1
angle : 104.886475, distance : 0.409000, cluster : 1
angle : 105.166626, distance : 0.411000, cluster : 1
angle : 105.496216, distance : 0.413000, cluster : 1
angle : 105.842285, distance : 0.416000, cluster : 1
angle : 106.105957, distance : 0.418000, cluster : 1
angle : 106.452026, distance : 0.420000, cluster : 1
angle : 106.578369, distance : 0.000000, cluster : 0
angle : 106.776123, distance : 0.422000, cluster : 1
angle : 107.297974, distance : 0.000000, cluster : 0
angle : 107.660522, distance : 0.000000, cluster : 0
angle : 109.357910, distance : 0.000000, cluster : 0
angle : 109.687500, distance : 0.000000, cluster : 0
angle : 110.028076, distance : 0.000000, cluster : 0
angle : 110.357666, distance : 0.000000, cluster : 0
angle : 110.698242, distance : 0.000000, cluster : 0
angle : 111.027832, distance : 0.000000, cluster : 0
angle : 111.373901, distance : 0.000000, cluster : 0
angle : 111.654053, distance : 0.000000, cluster : 0
angle : 111.983643, distance : 0.000000, cluster : 0
angle : 112.307739, distance : 0.000000, cluster : 0
angle : 112.653809, distance : 0.000000, cluster : 0
angle : 112.703247, distance : 0.000000, cluster : 0
angle : 112.983398, distance : 0.000000, cluster : 0
angle : 113.060303, distance : 0.000000, cluster : 0
angle : 113.422852, distance : 0.000000, cluster : 0
angle : 113.779907, distance : 0.000000, cluster : 0
angle : 113.999634, distance : 0.000000, cluster : 0
angle : 114.142456, distance : 0.000000, cluster : 0
angle : 114.323730, distance : 0.000000, cluster : 0
angle : 114.499512, distance : 0.000000, cluster : 0
angle : 114.669800, distance : 0.000000, cluster : 0
angle : 114.862061, distance : 0.000000, cluster : 0
angle : 114.999390, distance : 0.000000, cluster : 0
angle : 115.219116, distance : 0.000000, cluster : 0
angle : 115.339966, distance : 0.000000, cluster : 0
angle : 115.581665, distance : 0.000000, cluster : 0
angle : 115.669556, distance : 0.000000, cluster : 0
angle : 115.938721, distance : 0.000000, cluster : 0
angle : 116.015625, distance : 0.000000, cluster : 0
angle : 116.301270, distance : 0.000000, cluster : 0
angle : 116.339722, distance : 0.000000, cluster : 0
angle : 116.658325, distance : 0.000000, cluster : 0
angle : 116.685791, distance : 0.000000, cluster : 0
angle : 117.015381, distance : 0.000000, cluster : 0
angle : 117.020874, distance : 0.000000, cluster : 0
angle : 117.355957, distance : 0.000000, cluster : 0
angle : 117.377930, distance : 0.000000, cluster : 0
angle : 117.685547, distance : 0.000000, cluster : 0
angle : 117.740479, distance : 0.000000, cluster : 0
angle : 118.026123, distance : 0.000000, cluster : 0
angle : 118.355713, distance : 0.000000, cluster : 0
angle : 118.701782, distance : 0.000000, cluster : 0
angle : 119.025879, distance : 0.000000, cluster : 0
angle : 119.355469, distance : 0.000000, cluster : 0
angle : 119.701538, distance : 0.000000, cluster : 0
angle : 120.031128, distance : 0.000000, cluster : 0
angle : 120.371704, distance : 0.000000, cluster : 0
angle : 120.701294, distance : 0.000000, cluster : 0
angle : 121.041870, distance : 0.000000, cluster : 0
angle : 121.371460, distance : 0.000000, cluster : 0
angle : 121.717529, distance : 0.000000, cluster : 0
angle : 122.041626, distance : 0.000000, cluster : 0
angle : 122.387695, distance : 0.000000, cluster : 0
angle : 122.420654, distance : 0.000000, cluster : 0
angle : 122.717285, distance : 0.000000, cluster : 0
angle : 122.783203, distance : 0.000000, cluster : 0
angle : 123.057861, distance : 0.000000, cluster : 0
angle : 123.387451, distance : 0.000000, cluster : 0
angle : 123.733521, distance : 0.000000, cluster : 0
angle : 124.057617, distance : 0.000000, cluster : 0
angle : 124.403687, distance : 0.000000, cluster : 0
angle : 124.733276, distance : 0.000000, cluster : 0
angle : 125.073853, distance : 0.000000, cluster : 0
angle : 125.403442, distance : 0.000000, cluster : 0
angle : 126.073608, distance : 0.000000, cluster : 0
angle : 126.529541, distance : 0.000000, cluster : 0
angle : 126.859131, distance : 0.000000, cluster : 0
angle : 127.199707, distance : 0.000000, cluster : 0
angle : 127.529297, distance : 0.000000, cluster : 0
angle : 127.869873, distance : 0.000000, cluster : 0
angle : 128.199463, distance : 0.000000, cluster : 0
angle : 128.545532, distance : 0.000000, cluster : 0
angle : 128.869629, distance : 0.000000, cluster : 0
angle : 129.215698, distance : 0.000000, cluster : 0
angle : 129.545288, distance : 0.000000, cluster : 0
angle : 129.885864, distance : 0.000000, cluster : 0
angle : 130.215454, distance : 0.000000, cluster : 0
angle : 130.561523, distance : 0.000000, cluster : 0
angle : 130.885620, distance : 0.000000, cluster : 0
angle : 131.231689, distance : 0.000000, cluster : 0
angle : 131.561279, distance : 0.000000, cluster : 0
angle : 131.901855, distance : 0.000000, cluster : 0
angle : 132.231445, distance : 0.000000, cluster : 0
angle : 132.577515, distance : 0.000000, cluster : 0
angle : 132.901611, distance : 0.000000, cluster : 0
angle : 133.247681, distance : 0.000000, cluster : 0
angle : 133.577271, distance : 0.000000, cluster : 0
angle : 133.917847, distance : 0.000000, cluster : 0
angle : 134.247437, distance : 0.000000, cluster : 0
angle : 134.593506, distance : 0.000000, cluster : 0
angle : 134.917603, distance : 0.000000, cluster : 0
angle : 135.263672, distance : 0.000000, cluster : 0
angle : 135.593262, distance : 0.000000, cluster : 0
angle : 135.741577, distance : 0.000000, cluster : 0
angle : 135.933838, distance : 0.000000, cluster : 0
angle : 136.263428, distance : 0.000000, cluster : 0
angle : 136.604004, distance : 0.000000, cluster : 0
angle : 136.933594, distance : 0.000000, cluster : 0
angle : 137.279663, distance : 0.000000, cluster : 0
angle : 138.279419, distance : 0.000000, cluster : 0
angle : 139.515381, distance : 0.948000, cluster : 1
angle : 140.185547, distance : 0.952000, cluster : 1
angle : 140.515137, distance : 0.980000, cluster : 1
angle : 140.855713, distance : 0.968000, cluster : 1
angle : 141.185303, distance : 0.964000, cluster : 1
angle : 141.525879, distance : 0.960000, cluster : 1
angle : 141.855469, distance : 0.958000, cluster : 1
angle : 142.201538, distance : 0.956000, cluster : 1
angle : 142.531128, distance : 0.954000, cluster : 1
angle : 142.871704, distance : 0.956000, cluster : 1
angle : 143.201294, distance : 0.954000, cluster : 1
angle : 143.541870, distance : 0.956000, cluster : 1
angle : 143.871460, distance : 0.958000, cluster : 1
angle : 144.217529, distance : 0.958000, cluster : 1
angle : 144.541626, distance : 0.960000, cluster : 1
angle : 144.887695, distance : 0.964000, cluster : 1
angle : 145.217285, distance : 0.964000, cluster : 1
angle : 145.557861, distance : 0.964000, cluster : 1
angle : 145.887451, distance : 0.966000, cluster : 1
angle : 146.233521, distance : 0.974000, cluster : 1
angle : 146.557617, distance : 0.974000, cluster : 1
angle : 146.903687, distance : 0.982000, cluster : 1
angle : 147.183838, distance : 0.994000, cluster : 1
angle : 148.342896, distance : 0.000000, cluster : 0
angle : 148.699951, distance : 0.000000, cluster : 0
angle : 149.782104, distance : 0.000000, cluster : 0
angle : 158.060303, distance : 0.000000, cluster : 0
angle : 158.422852, distance : 0.000000, cluster : 0
angle : 158.779907, distance : 0.000000, cluster : 0
angle : 159.142456, distance : 0.000000, cluster : 0
angle : 159.499512, distance : 0.000000, cluster : 0
angle : 159.862061, distance : 0.000000, cluster : 0
angle : 160.219116, distance : 0.000000, cluster : 0
angle : 160.581665, distance : 0.000000, cluster : 0
angle : 160.938721, distance : 0.000000, cluster : 0
angle : 161.301270, distance : 0.000000, cluster : 0
angle : 161.658325, distance : 0.000000, cluster : 0
angle : 162.020874, distance : 0.000000, cluster : 0
angle : 162.383423, distance : 0.000000, cluster : 0
angle : 162.740479, distance : 0.000000, cluster : 0
angle : 163.103027, distance : 0.000000, cluster : 0
angle : 163.460083, distance : 0.000000, cluster : 0
angle : 163.822632, distance : 0.000000, cluster : 0
angle : 164.179688, distance : 0.000000, cluster : 0
angle : 164.542236, distance : 0.000000, cluster : 0
angle : 164.899292, distance : 0.000000, cluster : 0
angle : 165.261841, distance : 0.000000, cluster : 0
angle : 165.618896, distance : 0.000000, cluster : 0
angle : 165.981445, distance : 0.000000, cluster : 0
angle : 166.338501, distance : 0.000000, cluster : 0
angle : 166.701050, distance : 0.000000, cluster : 0
angle : 167.058105, distance : 0.000000, cluster : 0
angle : 167.420654, distance : 0.000000, cluster : 0
angle : 167.783203, distance : 0.000000, cluster : 0
angle : 167.964478, distance : 0.000000, cluster : 0
angle : 168.140259, distance : 0.000000, cluster : 0
angle : 168.310547, distance : 0.000000, cluster : 0
angle : 168.502808, distance : 0.000000, cluster : 0
angle : 168.640137, distance : 0.000000, cluster : 0
angle : 168.859863, distance : 0.000000, cluster : 0
angle : 168.980713, distance : 0.000000, cluster : 0
angle : 169.222412, distance : 0.000000, cluster : 0
angle : 169.310303, distance : 0.000000, cluster : 0
angle : 169.579468, distance : 0.000000, cluster : 0
angle : 169.650879, distance : 0.000000, cluster : 0
angle : 169.942017, distance : 0.000000, cluster : 0
angle : 169.980469, distance : 0.000000, cluster : 0
angle : 170.299072, distance : 0.000000, cluster : 0
angle : 170.326538, distance : 0.000000, cluster : 0
angle : 170.656128, distance : 0.000000, cluster : 0
angle : 170.661621, distance : 0.000000, cluster : 0
angle : 170.996704, distance : 0.000000, cluster : 0
angle : 171.018677, distance : 0.000000, cluster : 0
angle : 171.326294, distance : 0.000000, cluster : 0
angle : 171.381226, distance : 0.000000, cluster : 0
angle : 171.716309, distance : 0.000000, cluster : 0
angle : 171.738281, distance : 0.000000, cluster : 0
angle : 172.062378, distance : 0.000000, cluster : 0
angle : 172.100830, distance : 0.000000, cluster : 0
angle : 172.386475, distance : 0.000000, cluster : 0
angle : 172.463379, distance : 0.000000, cluster : 0
angle : 172.732544, distance : 0.000000, cluster : 0
angle : 172.820435, distance : 0.000000, cluster : 0
angle : 173.073120, distance : 0.000000, cluster : 0
angle : 173.182983, distance : 0.000000, cluster : 0
angle : 173.402710, distance : 0.000000, cluster : 0
angle : 173.540039, distance : 0.000000, cluster : 0
angle : 173.748779, distance : 0.000000, cluster : 0
angle : 173.902588, distance : 0.000000, cluster : 0
angle : 174.072876, distance : 0.000000, cluster : 0
angle : 174.259644, distance : 0.000000, cluster : 0
angle : 174.418945, distance : 0.000000, cluster : 0
angle : 174.622192, distance : 0.000000, cluster : 0
angle : 174.748535, distance : 0.000000, cluster : 0
angle : 174.979248, distance : 0.000000, cluster : 0
angle : 175.089111, distance : 0.000000, cluster : 0
angle : 175.341797, distance : 0.000000, cluster : 0
angle : 175.418701, distance : 0.000000, cluster : 0
angle : 175.698853, distance : 0.000000, cluster : 0
angle : 176.061401, distance : 0.000000, cluster : 0
angle : 176.418457, distance : 0.000000, cluster : 0
