angle : 191.200562, distance : 0.000000
angle : 191.464233, distance : 0.000000
angle : 191.546631, distance : 0.000000
angle : 191.887207, distance : 0.000000
angle : 192.233276, distance : 0.000000
angle : 192.573853, distance : 0.000000
angle : 192.903442, distance : 0.000000
angle : 193.249512, distance : 0.000000
angle : 193.590088, distance : 0.000000
angle : 193.628540, distance : 0.000000
angle : 193.936157, distance : 0.000000
angle : 194.276733, distance : 0.000000
angle : 194.348145, distance : 0.000000
angle : 194.705200, distance : 0.000000
angle : 194.902954, distance : 0.000000
angle : 195.699463, distance : 0.000000
angle : 196.029053, distance : 0.000000
angle : 196.935425, distance : 0.000000
angle : 197.731934, distance : 0.000000
angle : 198.138428, distance : 0.000000
angle : 198.468018, distance : 0.000000
angle : 198.808594, distance : 0.000000
angle : 199.154663, distance : 0.000000
angle : 199.495239, distance : 0.000000
angle : 199.841309, distance : 0.000000
angle : 200.231323, distance : 0.000000
angle : 200.577393, distance : 0.000000
angle : 200.917969, distance : 0.000000
angle : 201.247559, distance : 0.000000
angle : 201.593628, distance : 0.000000
angle : 201.934204, distance : 0.000000
angle : 202.280273, distance : 0.000000
angle : 202.670288, distance : 0.000000
angle : 203.010864, distance : 0.000000
angle : 203.356934, distance : 0.000000
angle : 203.703003, distance : 0.000000
angle : 204.027100, distance : 0.000000
angle : 204.373169, distance : 0.000000
angle : 204.713745, distance : 0.000000
angle : 205.059814, distance : 0.000000
angle : 205.389404, distance : 0.000000
angle : 205.729980, distance : 0.000000
angle : 206.076050, distance : 0.000000
angle : 206.416626, distance : 0.000000
angle : 206.586914, distance : 0.000000
angle : 206.762695, distance : 0.000000
angle : 207.092285, distance : 0.000000
angle : 207.306519, distance : 0.000000
angle : 207.432861, distance : 0.000000
angle : 207.669067, distance : 0.000000
angle : 207.718506, distance : 0.000000
angle : 208.059082, distance : 0.000000
angle : 208.405151, distance : 0.000000
angle : 208.745728, distance : 0.000000
angle : 208.745728, distance : 0.000000
angle : 209.091797, distance : 0.000000
angle : 209.421387, distance : 0.000000
angle : 209.465332, distance : 0.000000
angle : 209.761963, distance : 0.000000
angle : 209.827881, distance : 0.000000
angle : 210.108032, distance : 0.000000
angle : 210.448608, distance : 0.000000
angle : 210.794678, distance : 0.000000
angle : 211.124268, distance : 0.000000
angle : 211.464844, distance : 0.000000
angle : 211.810913, distance : 0.000000
angle : 212.151489, distance : 0.000000
angle : 212.497559, distance : 0.000000
angle : 212.827148, distance : 0.000000
angle : 213.167725, distance : 0.000000
angle : 213.513794, distance : 0.000000
angle : 213.854370, distance : 0.000000
angle : 214.183960, distance : 0.000000
angle : 214.530029, distance : 0.000000
angle : 214.870605, distance : 0.000000
angle : 215.216675, distance : 0.000000
angle : 215.557251, distance : 0.000000
angle : 215.886841, distance : 0.000000
angle : 216.232910, distance : 0.000000
angle : 216.573486, distance : 0.000000
angle : 216.919556, distance : 0.000000
angle : 217.265625, distance : 0.000000
angle : 217.545776, distance : 0.000000
angle : 217.886353, distance : 0.000000
angle : 218.215942, distance : 0.000000
angle : 218.562012, distance : 0.000000
angle : 218.902588, distance : 0.000000
angle : 219.248657, distance : 0.000000
angle : 219.589233, distance : 0.000000
angle : 219.918823, distance : 0.000000
angle : 220.264893, distance : 0.000000
angle : 220.605469, distance : 0.000000
angle : 220.951538, distance : 0.000000
angle : 221.281128, distance : 0.000000
angle : 221.621704, distance : 0.000000
angle : 221.967773, distance : 0.000000
angle : 222.308350, distance : 0.000000
angle : 222.654419, distance : 0.000000
angle : 222.984009, distance : 0.000000
angle : 223.324585, distance : 0.000000
angle : 223.670654, distance : 0.000000
angle : 224.011230, distance : 0.000000
angle : 224.340820, distance : 0.000000
angle : 224.637451, distance : 0.000000
angle : 224.967041, distance : 0.000000
angle : 225.307617, distance : 0.000000
angle : 225.653687, distance : 0.000000
angle : 225.999756, distance : 0.000000
angle : 226.323853, distance : 0.000000
angle : 226.669922, distance : 0.000000
angle : 227.526855, distance : 0.000000
angle : 227.856445, distance : 0.000000
angle : 228.202515, distance : 0.000000
angle : 228.543091, distance : 0.000000
angle : 229.279175, distance : 0.000000
angle : 229.619751, distance : 0.000000
angle : 229.949341, distance : 0.000000
angle : 230.295410, distance : 0.000000
angle : 230.635986, distance : 0.000000
angle : 230.982056, distance : 0.000000
angle : 231.328125, distance : 0.000000
angle : 231.652222, distance : 0.000000
angle : 233.014526, distance : 0.000000
angle : 233.355103, distance : 0.000000
angle : 233.701172, distance : 0.000000
angle : 234.041748, distance : 0.000000
angle : 234.387817, distance : 0.000000
angle : 234.717407, distance : 0.000000
angle : 235.057983, distance : 0.000000
angle : 235.404053, distance : 0.000000
angle : 235.744629, distance : 0.000000
angle : 236.074219, distance : 0.000000
angle : 236.420288, distance : 0.000000
angle : 236.760864, distance : 0.000000
angle : 237.106934, distance : 0.000000
angle : 237.436523, distance : 0.000000
angle : 237.777100, distance : 0.000000
angle : 238.123169, distance : 0.000000
angle : 238.463745, distance : 0.000000
angle : 238.809814, distance : 0.000000
angle : 239.826050, distance : 0.000000
angle : 240.276489, distance : 0.000000
angle : 240.622559, distance : 0.000000
angle : 240.968628, distance : 0.000000
angle : 241.144409, distance : 0.000000
angle : 241.292725, distance : 0.000000
angle : 241.638794, distance : 0.000000
angle : 241.979370, distance : 0.000000
angle : 242.325439, distance : 0.000000
angle : 242.655029, distance : 0.000000
angle : 242.946167, distance : 0.000000
angle : 242.995605, distance : 0.000000
angle : 243.341675, distance : 0.000000
angle : 243.682251, distance : 0.000000
angle : 244.028320, distance : 0.000000
angle : 244.357910, distance : 0.000000
angle : 244.698486, distance : 0.000000
angle : 245.044556, distance : 0.000000
angle : 245.390625, distance : 0.000000
angle : 245.714722, distance : 0.000000
angle : 246.187134, distance : 0.000000
angle : 246.511230, distance : 0.000000
angle : 246.544189, distance : 0.000000
angle : 246.857300, distance : 0.000000
angle : 246.906738, distance : 0.000000
angle : 247.197876, distance : 0.000000
angle : 247.527466, distance : 0.000000
angle : 247.873535, distance : 0.000000
angle : 248.214111, distance : 0.000000
angle : 248.560181, distance : 0.000000
angle : 248.889771, distance : 0.000000
angle : 249.230347, distance : 0.000000
angle : 249.576416, distance : 0.000000
angle : 249.916992, distance : 0.000000
angle : 250.263062, distance : 0.000000
angle : 250.592651, distance : 0.000000
angle : 250.933228, distance : 0.000000
angle : 251.949463, distance : 0.000000
angle : 252.246094, distance : 0.000000
angle : 252.575684, distance : 0.000000
angle : 252.921753, distance : 0.000000
angle : 253.262329, distance : 0.000000
angle : 253.608398, distance : 0.000000
angle : 253.745728, distance : 0.000000
angle : 253.932495, distance : 0.000000
angle : 254.108276, distance : 0.000000
angle : 254.278564, distance : 0.000000
angle : 254.827881, distance : 0.000000
angle : 254.965210, distance : 0.000000
angle : 255.981445, distance : 0.000000
angle : 256.327515, distance : 0.000000
angle : 256.717529, distance : 0.000000
angle : 257.058105, distance : 0.000000
angle : 257.404175, distance : 0.000000
