dist : 0.000000, i : 17, j : 32
dist : 0.000000, i : 17, j : 33
dist : 0.000000, i : 17, j : 34
dist : 0.000000, i : 17, j : 35
dist : 1.146071, i : 18, j : 19
dist : 1.025529, i : 18, j : 20
dist : 1.231944, i : 18, j : 21
dist : 1.624874, i : 18, j : 22
dist : 0.000000, i : 18, j : 23
dist : 0.000000, i : 18, j : 24
dist : 1.437677, i : 18, j : 25
dist : 0.000000, i : 18, j : 26
dist : 1.809252, i : 18, j : 27
dist : 0.000000, i : 18, j : 28
dist : 0.000000, i : 18, j : 29
dist : 0.000000, i : 18, j : 30
dist : 3.062349, i : 18, j : 31
dist : 1.820187, i : 18, j : 32
dist : 2.870819, i : 18, j : 33
dist : 3.297612, i : 18, j : 34
dist : 2.971561, i : 18, j : 35
dist : 0.246872, i : 19, j : 20
dist : 0.445499, i : 19, j : 21
dist : 0.809989, i : 19, j : 22
dist : 0.000000, i : 19, j : 23
dist : 0.000000, i : 19, j : 24
dist : 1.813100, i : 19, j : 25
dist : 0.000000, i : 19, j : 26
dist : 2.405161, i : 19, j : 27
dist : 0.000000, i : 19, j : 28
dist : 0.000000, i : 19, j : 29
dist : 0.000000, i : 19, j : 30
dist : 3.856524, i : 19, j : 31
dist : 2.818468, i : 19, j : 32
dist : 3.788929, i : 19, j : 33
dist : 4.307508, i : 19, j : 34
dist : 4.017422, i : 19, j : 35
dist : 0.281848, i : 20, j : 21
dist : 0.702199, i : 20, j : 22
dist : 0.000000, i : 20, j : 23
dist : 0.000000, i : 20, j : 24
dist : 1.566569, i : 20, j : 25
dist : 0.000000, i : 20, j : 26
dist : 2.161795, i : 20, j : 27
dist : 0.000000, i : 20, j : 28
dist : 0.000000, i : 20, j : 29
dist : 0.000000, i : 20, j : 30
dist : 3.619356, i : 20, j : 31
dist : 2.612806, i : 20, j : 32
dist : 3.564851, i : 20, j : 33
dist : 4.097548, i : 20, j : 34
dist : 3.817012, i : 20, j : 35
dist : 0.424416, i : 21, j : 22
dist : 0.000000, i : 21, j : 23
dist : 0.000000, i : 21, j : 24
dist : 1.486910, i : 21, j : 25
dist : 0.000000, i : 21, j : 26
dist : 2.109107, i : 21, j : 27
dist : 0.000000, i : 21, j : 28
dist : 0.000000, i : 21, j : 29
dist : 0.000000, i : 21, j : 30
dist : 3.590898, i : 21, j : 31
dist : 2.677990, i : 21, j : 32
dist : 3.580698, i : 21, j : 33
dist : 4.145993, i : 21, j : 34
dist : 3.885999, i : 21, j : 35
dist : 0.000000, i : 22, j : 23
dist : 0.000000, i : 22, j : 24
dist : 1.555452, i : 22, j : 25
dist : 0.000000, i : 22, j : 26
dist : 2.191080, i : 22, j : 27
dist : 0.000000, i : 22, j : 28
dist : 0.000000, i : 22, j : 29
dist : 0.000000, i : 22, j : 30
dist : 3.681216, i : 22, j : 31
dist : 2.906851, i : 22, j : 32
dist : 3.733979, i : 22, j : 33
dist : 4.338449, i : 22, j : 34
dist : 4.107035, i : 22, j : 35
dist : 0.000000, i : 23, j : 24
dist : 0.000000, i : 23, j : 25
dist : 0.000000, i : 23, j : 26
dist : 0.000000, i : 23, j : 27
dist : 0.000000, i : 23, j : 28
dist : 0.000000, i : 23, j : 29
dist : 0.000000, i : 23, j : 30
dist : 0.000000, i : 23, j : 31
dist : 0.000000, i : 23, j : 32
dist : 0.000000, i : 23, j : 33
dist : 0.000000, i : 23, j : 34
dist : 0.000000, i : 23, j : 35
dist : 0.000000, i : 24, j : 25
dist : 0.000000, i : 24, j : 26
dist : 0.000000, i : 24, j : 27
dist : 0.000000, i : 24, j : 28
dist : 0.000000, i : 24, j : 29
dist : 0.000000, i : 24, j : 30
dist : 0.000000, i : 24, j : 31
dist : 0.000000, i : 24, j : 32
dist : 0.000000, i : 24, j : 33
dist : 0.000000, i : 24, j : 34
dist : 0.000000, i : 24, j : 35
dist : 0.000000, i : 25, j : 26
dist : 0.635814, i : 25, j : 27
dist : 0.000000, i : 25, j : 28
dist : 0.000000, i : 25, j : 29
dist : 0.000000, i : 25, j : 30
dist : 2.126792, i : 25, j : 31
dist : 1.524655, i : 25, j : 32
dist : 2.198998, i : 25, j : 33
dist : 2.838761, i : 25, j : 34
dist : 2.656649, i : 25, j : 35
dist : 0.000000, i : 26, j : 27
dist : 0.000000, i : 26, j : 28
dist : 0.000000, i : 26, j : 29
dist : 0.000000, i : 26, j : 30
dist : 0.000000, i : 26, j : 31
dist : 0.000000, i : 26, j : 32
dist : 0.000000, i : 26, j : 33
dist : 0.000000, i : 26, j : 34
dist : 0.000000, i : 26, j : 35
dist : 0.000000, i : 27, j : 28
dist : 0.000000, i : 27, j : 29
dist : 0.000000, i : 27, j : 30
dist : 1.491143, i : 27, j : 31
dist : 1.117800, i : 27, j : 32
dist : 1.588795, i : 27, j : 33
dist : 2.255536, i : 27, j : 34
dist : 2.117972, i : 27, j : 35
dist : 0.000000, i : 28, j : 29
dist : 0.000000, i : 28, j : 30
dist : 0.000000, i : 28, j : 31
dist : 0.000000, i : 28, j : 32
dist : 0.000000, i : 28, j : 33
dist : 0.000000, i : 28, j : 34
dist : 0.000000, i : 28, j : 35
dist : 0.000000, i : 29, j : 30
dist : 0.000000, i : 29, j : 31
dist : 0.000000, i : 29, j : 32
dist : 0.000000, i : 29, j : 33
dist : 0.000000, i : 29, j : 34
dist : 0.000000, i : 29, j : 35
